Date,Close,High,Low,Open,Volume
2025-01-02,4385.0,4450.0,4170.0,4170.0,2259748
2025-01-03,4445.0,4510.0,4255.0,4420.0,1930097
2025-01-06,4500.0,4560.0,4400.0,4500.0,1937570
2025-01-07,4555.0,4635.0,4450.0,4515.0,2676185
2025-01-08,4470.0,4580.0,4280.0,4580.0,2866124
2025-01-09,4575.0,4645.0,4460.0,4555.0,1568067
2025-01-10,4530.0,4630.0,4430.0,4505.0,2266661
2025-01-13,4305.0,4590.0,4300.0,4550.0,1433648
2025-01-14,4465.0,4490.0,4315.0,4315.0,1906781
2025-01-15,4420.0,4580.0,4345.0,4550.0,1609267
2025-01-16,4290.0,4460.0,4265.0,4420.0,1257453
2025-01-17,4080.0,4325.0,4060.0,4290.0,2343509
2025-01-20,4045.0,4185.0,4005.0,4090.0,888929
2025-01-21,4210.0,4225.0,4040.0,4100.0,1806432
2025-01-22,4235.0,4300.0,4165.0,4210.0,969983
2025-01-23,4175.0,4245.0,4140.0,4235.0,916191
2025-01-24,4040.0,4195.0,3865.0,4075.0,2106129
2025-01-27,3875.0,4030.0,3780.0,4030.0,2234216
2025-01-28,3800.0,3950.0,3680.0,3895.0,2878034
2025-01-29,4065.0,4080.0,3725.0,3800.0,1787310
2025-01-30,4280.0,4300.0,4100.0,4110.0,1918717
2025-01-31,4240.0,4365.0,4200.0,4350.0,734240
2025-02-03,4080.0,4160.0,4000.0,4160.0,1476544
2025-02-04,4150.0,4180.0,4080.0,4080.0,728526
2025-02-05,4025.0,4180.0,4015.0,4150.0,731211
2025-02-06,4055.0,4125.0,3975.0,4035.0,1008141
2025-02-07,3890.0,4120.0,3830.0,4065.0,1656106
2025-02-10,3775.0,3955.0,3710.0,3890.0,2566650
2025-02-11,3650.0,3840.0,3600.0,3775.0,2804060
2025-02-12,3720.0,3825.0,3500.0,3660.0,2472248
2025-02-13,3855.0,3875.0,3720.0,3730.0,916572
2025-02-14,3940.0,3945.0,3800.0,3880.0,1159987
2025-02-17,3705.0,3895.0,3660.0,3850.0,2431021
2025-02-18,3940.0,3990.0,3720.0,3720.0,2080058
2025-02-19,3965.0,4015.0,3900.0,3950.0,1048256
2025-02-20,3945.0,4010.0,3865.0,3965.0,1134284
2025-02-21,3905.0,4070.0,3900.0,4000.0,1813551
2025-02-24,3890.0,3995.0,3795.0,3990.0,896155
2025-02-25,3775.0,3935.0,3700.0,3890.0,1041759
2025-02-26,3720.0,3830.0,3700.0,3780.0,1306403
2025-02-27,3610.0,3780.0,3575.0,3735.0,1436658
2025-02-28,3745.0,3815.0,3525.0,3630.0,1600317
2025-03-05,3800.0,3820.0,3665.0,3700.0,882855
2025-03-06,3850.0,3920.0,3725.0,3850.0,1461859
2025-03-07,3875.0,3970.0,3715.0,3900.0,1040418
2025-03-10,3670.0,3785.0,3570.0,3785.0,1577884
2025-03-11,3735.0,3805.0,3645.0,3705.0,1797340
2025-03-12,3975.0,4000.0,3815.0,3815.0,2330279
2025-03-13,3895.0,4025.0,3845.0,3935.0,948257
2025-03-14,4080.0,4095.0,3945.0,3970.0,1229367
2025-03-17,4030.0,4150.0,4020.0,4080.0,1029330
2025-03-18,3945.0,4005.0,3890.0,3985.0,1185548
2025-03-19,4130.0,4145.0,3960.0,3960.0,1142765
2025-03-20,4115.0,4160.0,4025.0,4130.0,856996
2025-03-21,4255.0,4275.0,4110.0,4170.0,1087648
2025-03-25,4345.0,4395.0,4255.0,4300.0,1167957
2025-03-26,4250.0,4390.0,4240.0,4390.0,1100702
2025-03-27,4185.0,4335.0,4170.0,4270.0,967378
2025-03-28,4145.0,4205.0,4105.0,4170.0,775146
2025-03-31,4045.0,4100.0,4000.0,4100.0,1662038
2025-04-01,4145.0,4200.0,4060.0,4060.0,633208
2025-04-03,3940.0,4050.0,3930.0,3985.0,1113877
2025-04-04,3660.0,3840.0,3500.0,3840.0,1872983
2025-04-07,3510.0,3750.0,3460.0,3490.0,2826135
2025-04-08,3425.0,3735.0,3380.0,3630.0,3329524
2025-04-09,3620.0,3950.0,3285.0,3425.0,2791411
2025-04-10,3560.0,3670.0,3415.0,3620.0,1573347
2025-04-11,3730.0,3830.0,3635.0,3635.0,1541366
2025-04-14,3855.0,4095.0,3670.0,4000.0,3116783
2025-04-15,3740.0,3840.0,3700.0,3830.0,1039821
2025-04-16,3615.0,3780.0,3570.0,3700.0,1299347
2025-04-21,3360.0,3600.0,3300.0,3600.0,1305654
2025-04-22,3570.0,3595.0,3405.0,3405.0,1417833
2025-04-23,3660.0,3750.0,3630.0,3630.0,2072830
2025-04-24,3640.0,3840.0,3600.0,3755.0,1318562
2025-04-25,3650.0,3745.0,3600.0,3660.0,914132
2025-04-28,3530.0,3680.0,3475.0,3680.0,1033987
2025-04-29,3485.0,3585.0,3475.0,3585.0,887591
2025-04-30,3385.0,3485.0,3360.0,3420.0,957568
2025-05-05,3355.0,3455.0,3310.0,3380.0,835202
2025-05-06,3465.0,3480.0,3340.0,3340.0,897016
2025-05-07,3315.0,3495.0,3290.0,3495.0,2377364
2025-05-08,3355.0,3410.0,3280.0,3320.0,971149
2025-05-09,3495.0,3540.0,3365.0,3400.0,1203350
2025-05-12,3745.0,3770.0,3515.0,3530.0,3988687
2025-05-13,3875.0,3930.0,3670.0,3725.0,1943980
2025-05-14,3880.0,3910.0,3715.0,3875.0,1268019
2025-05-15,3830.0,3880.0,3775.0,3800.0,2756389
2025-05-16,3860.0,3900.0,3805.0,3830.0,1036408
2025-05-19,3960.0,4045.0,3880.0,3880.0,962592
2025-05-20,3945.0,4005.0,3930.0,3960.0,1182167
2025-05-21,3805.0,4015.0,3770.0,3945.0,2528896
2025-05-22,3765.0,3860.0,3745.0,3805.0,1602979
2025-05-23,3805.0,3830.0,3705.0,3705.0,576644
2025-05-26,3815.0,3870.0,3790.0,3805.0,568366
2025-05-27,3810.0,3845.0,3775.0,3830.0,721415
2025-05-28,3830.0,3875.0,3710.0,3795.0,1107717
2025-05-29,3740.0,3865.0,3710.0,3830.0,1104581
2025-05-30,3700.0,3765.0,3660.0,3740.0,700899
2025-06-02,3585.0,3755.0,3575.0,3700.0,553604
2025-06-03,3685.0,3705.0,3575.0,3575.0,1105531
2025-06-04,3455.0,3720.0,3445.0,3675.0,1733801
2025-06-05,3505.0,3565.0,3475.0,3500.0,1141029
2025-06-06,3550.0,3595.0,3450.0,3500.0,936932
2025-06-09,3500.0,3560.0,3470.0,3545.0,902226
2025-06-10,3630.0,3665.0,3515.0,3515.0,2256955
2025-06-11,3625.0,3680.0,3555.0,3650.0,1330464
2025-06-12,3645.0,3685.0,3600.0,3685.0,1075057
2025-06-13,3565.0,3695.0,3495.0,3675.0,1061401
2025-06-17,3475.0,3520.0,3430.0,3500.0,1584209
2025-06-18,3410.0,3500.0,3405.0,3475.0,1317831
2025-06-19,3430.0,3475.0,3400.0,3450.0,422307
2025-06-23,3360.0,3390.0,3290.0,3385.0,1125163
2025-06-24,3425.0,3485.0,3340.0,3360.0,1091472
2025-06-25,3350.0,3410.0,3330.0,3390.0,903945
2025-06-26,3380.0,3420.0,3365.0,3400.0,1288957
2025-06-27,3390.0,3420.0,3345.0,3400.0,568321
2025-06-30,3345.0,3430.0,3280.0,3400.0,1289999
2025-07-01,3395.0,3410.0,3330.0,3345.0,1087825
2025-07-02,3500.0,3530.0,3415.0,3425.0,1023095
2025-07-03,3600.0,3610.0,3525.0,3525.0,1016531
2025-07-04,3620.0,3655.0,3550.0,3640.0,439124
2025-07-07,3545.0,3590.0,3470.0,3590.0,1419122
2025-07-08,3780.0,3815.0,3505.0,3540.0,2602952
2025-07-10,3605.0,3680.0,3550.0,3615.0,2126638
2025-07-11,3495.0,3580.0,3480.0,3580.0,1228189
2025-07-14,3705.0,3735.0,3440.0,3480.0,5632978
2025-07-15,3715.0,3770.0,3605.0,3685.0,4068888
2025-07-16,3590.0,3700.0,3580.0,3700.0,1340222
2025-07-17,3635.0,3710.0,3585.0,3610.0,2107987
2025-07-18,3695.0,3750.0,3655.0,3655.0,1904432
2025-07-21,3585.0,3735.0,3580.0,3695.0,1849540
2025-07-22,3520.0,3660.0,3485.0,3600.0,2299096
2025-07-23,3670.0,3695.0,3535.0,3595.0,2448812
2025-07-24,3780.0,3805.0,3610.0,3665.0,1606766
2025-07-25,3840.0,3890.0,3785.0,3800.0,2347293
2025-07-28,3875.0,3920.0,3820.0,3865.0,2407210
2025-07-29,4070.0,4120.0,3875.0,3900.0,2856260
2025-07-30,4110.0,4185.0,3980.0,4085.0,2340182
2025-07-31,4115.0,4195.0,4055.0,4095.0,2080691
2025-08-01,4065.0,4120.0,3990.0,4120.0,994685
2025-08-04,4050.0,4135.0,4030.0,4040.0,777638
2025-08-05,4180.0,4200.0,4050.0,4050.0,1011909
2025-08-06,4385.0,4440.0,4175.0,4190.0,2365581
2025-08-07,4135.0,4400.0,4120.0,4385.0,3459479
2025-08-08,3980.0,4205.0,3915.0,4145.0,2910259
2025-08-11,4000.0,4090.0,3940.0,4010.0,1266048
2025-08-12,4045.0,4165.0,3985.0,4040.0,1653710
2025-08-13,4030.0,4150.0,3975.0,4045.0,1237554
2025-08-14,3910.0,4015.0,3830.0,4015.0,2144765
2025-08-18,3900.0,4000.0,3850.0,3910.0,1355813
2025-08-19,3700.0,3930.0,3690.0,3900.0,2674605
2025-08-20,3715.0,3800.0,3675.0,3715.0,1185080
2025-08-21,3755.0,3815.0,3700.0,3725.0,1105528
2025-08-22,3750.0,3900.0,3740.0,3775.0,1464695
