Date,Close,High,Low,Open,Volume
2024-01-08,986.0,1025.0,970.0,1008.0,2682546
2024-01-09,941.0,1000.0,940.0,986.0,1670516
2024-01-10,947.5,973.5,913.0,942.5,905898
2024-01-11,919.5,970.0,913.0,950.0,684020
2024-01-12,886.5,933.0,870.0,920.5,708784
2024-01-15,881.0,912.5,879.0,900.0,814024
2024-01-16,920.0,928.5,881.0,890.0,1631070
2024-01-17,971.0,980.0,926.0,927.0,2252340
2024-01-18,953.5,999.0,948.0,971.0,945857
2024-01-19,955.0,972.0,950.0,950.0,971645
2024-01-22,982.5,987.0,955.0,960.0,753937
2024-01-23,1002.0,1014.0,957.0,982.0,933273
2024-01-24,1083.0,1090.0,1012.0,1020.0,1753852
2024-01-25,1094.0,1123.0,1080.0,1090.0,1208051
2024-01-26,1033.5,1097.0,1022.5,1087.5,990705
2024-01-29,1045.5,1070.0,996.0,1025.0,479178
2024-01-30,1022.5,1063.0,1010.0,1038.0,732371
2024-01-31,1021.5,1045.0,997.0,1024.0,675998
2024-02-01,1051.5,1062.5,1000.0,1030.0,716737
2024-02-02,1066.5,1072.0,1032.0,1053.5,519724
2024-02-05,1057.0,1081.5,1000.0,1071.0,729376
2024-02-06,996.5,1051.0,992.0,1045.0,671860
2024-02-07,950.5,996.0,930.0,988.0,2013257
2024-02-08,920.0,970.0,908.0,959.0,758314
2024-02-09,920.5,950.0,902.0,906.0,1675078
2024-02-14,896.5,933.0,858.0,925.0,561314
2024-02-15,892.5,917.0,881.5,901.0,389008
2024-02-16,879.0,906.0,840.0,892.5,671054
2024-02-19,889.0,900.0,860.0,875.0,1039140
2024-02-20,836.0,898.0,817.0,889.0,1366109
2024-02-21,795.5,838.0,790.0,827.0,836053
2024-02-22,803.5,832.0,796.0,802.0,1209188
2024-02-23,869.0,872.5,774.0,805.0,1189782
2024-02-26,865.0,895.0,841.0,869.0,1385437
2024-02-27,795.0,870.0,790.0,865.0,658438
2024-02-28,745.5,800.0,736.0,790.0,1027624
2024-02-29,755.5,780.0,745.5,750.0,855240
2024-03-01,812.5,823.0,752.0,770.0,840006
2024-03-04,787.5,838.0,783.0,830.0,773706
2024-03-05,729.0,790.0,716.0,784.0,674658
2024-03-06,716.5,768.5,692.0,748.0,1447849
2024-03-07,748.5,760.0,682.0,721.0,1402770
2024-03-08,732.5,769.5,699.5,760.0,1605140
2024-03-11,712.5,739.5,694.0,732.5,1016805
2024-03-12,735.5,764.0,716.0,716.0,1515939
2024-03-13,750.0,775.0,740.0,741.0,979965
2024-03-14,746.5,750.0,721.0,749.5,538362
2024-03-15,737.5,758.5,715.0,749.0,595480
2024-03-18,741.0,749.0,720.0,740.0,1376525
2024-03-19,803.5,818.5,730.0,742.0,1962993
2024-03-20,820.0,832.0,802.0,805.0,1137096
2024-03-21,874.0,889.5,774.0,840.0,1583152
2024-03-22,860.0,883.5,845.0,879.0,660379
2024-03-25,878.5,884.0,835.0,860.0,997604
2024-03-26,910.5,914.0,855.0,869.0,732118
2024-03-27,895.0,928.0,880.0,908.0,874896
2024-04-03,851.0,900.0,841.0,900.0,1231483
2024-04-04,806.5,860.0,803.0,850.0,1305932
2024-04-05,773.0,815.0,762.0,800.0,1892357
2024-04-08,804.0,808.0,770.0,780.0,1426737
2024-04-09,846.5,850.0,793.0,809.5,1044722
2024-04-10,832.0,847.5,817.0,847.5,713572
2024-04-11,859.5,865.0,817.0,826.0,126607
2024-04-12,859.0,866.5,837.0,860.0,628681
2024-04-15,851.5,896.5,838.0,859.0,1344578
2024-04-16,860.5,901.0,813.0,850.0,710220
2024-04-17,806.5,885.0,802.0,865.0,1296858
2024-04-18,807.0,821.0,801.0,810.0,846390
2024-04-19,806.0,813.0,795.0,807.0,659551
2024-04-22,827.0,840.0,795.0,810.0,878233
2024-04-23,816.5,839.0,810.0,826.5,847770
2024-04-24,814.5,833.5,801.0,811.0,712653
2024-04-25,859.5,875.0,810.0,810.0,795155
2024-04-26,863.5,886.5,847.5,860.0,457510
2024-04-29,864.5,899.0,860.0,865.0,818248
2024-04-30,842.5,893.5,840.0,874.5,1158112
2024-05-02,868.0,874.0,828.0,843.0,1594863
2024-05-03,947.0,970.0,838.0,870.0,2019011
2024-05-06,921.0,975.0,898.0,947.0,1569608
2024-05-07,899.0,932.0,888.0,926.0,1452735
2024-05-08,888.0,920.0,885.0,890.0,1077448
2024-05-09,872.0,898.0,867.0,887.0,432146
2024-05-10,914.0,924.0,871.0,888.5,971994
2024-05-13,883.0,928.0,876.0,918.0,534904
2024-05-14,878.0,895.0,867.0,879.0,544766
2024-05-15,903.0,912.0,878.5,881.0,2002455
2024-05-16,929.5,947.0,896.0,905.0,1320274
2024-05-17,928.5,950.0,910.0,931.0,997760
2024-05-20,966.0,970.5,906.0,935.0,1154068
2024-05-21,1003.5,1010.0,967.0,969.5,2052956
2024-05-22,1026.0,1030.0,990.0,1004.0,1255592
2024-05-23,1019.5,1032.0,982.0,1031.0,928957
2024-05-24,994.0,1000.0,991.0,1000.0,1350
2024-05-27,1025.0,1050.0,999.0,1030.0,1472075
2024-05-28,1033.0,1046.0,992.0,1028.0,1173689
2024-05-29,1002.0,1039.0,999.0,1039.0,678809
2024-05-30,1009.0,1018.0,1000.0,1004.0,1914869
2024-05-31,1020.5,1023.0,994.0,1004.0,994178
2024-06-03,1027.5,1034.0,1002.0,1021.0,585492
2024-06-04,983.5,1024.0,982.0,1024.0,733848
2024-06-05,972.0,985.0,950.0,983.5,1789953
2024-06-06,924.0,979.5,920.5,979.5,1335973
2024-06-07,949.0,960.0,921.0,924.5,577724
2024-06-10,951.0,977.0,939.0,949.0,702809
2024-06-11,935.5,959.5,930.0,950.0,441988
2024-06-12,926.0,953.0,918.5,942.0,1159009
2024-06-13,920.0,952.0,890.0,949.0,1333470
2024-06-14,906.5,943.0,895.0,925.0,930774
2024-06-18,865.0,920.0,863.0,906.0,1297658
2024-06-19,874.5,880.0,850.0,865.0,541685
2024-06-24,874.5,885.0,859.5,874.5,728425
2024-06-25,873.5,889.5,865.0,879.0,1298956
2024-06-26,896.0,909.0,867.0,867.0,929090
2024-06-27,965.5,968.0,901.0,905.0,965797
2024-06-28,974.0,994.0,945.0,977.0,1411473
2024-07-01,1016.0,1019.0,935.0,975.0,1800561
2024-07-02,1032.0,1066.0,1005.0,1015.0,1159062
2024-07-03,995.5,1048.0,990.0,1048.0,689522
2024-07-04,1001.0,1006.5,980.0,998.0,500321
2024-07-05,1054.5,1060.0,990.0,1018.5,909578
2024-07-08,1057.5,1080.0,1030.0,1039.0,475911
2024-07-10,1100.0,1105.0,1035.0,1055.0,504744
2024-07-11,1085.0,1120.0,1060.0,1100.0,883979
2024-07-12,1085.0,1125.0,1070.0,1110.0,866508
2024-07-15,922.0,1060.0,910.0,1050.0,1008187
2024-07-16,980.0,983.0,870.0,939.0,1430041
2024-07-17,1050.0,1075.0,965.0,998.0,801139
2024-07-18,1030.0,1090.0,1005.0,1025.0,843706
2024-07-19,1030.0,1060.0,1025.0,1040.0,390242
2024-07-22,1070.0,1080.0,1005.0,1040.0,678400
2024-07-23,1100.0,1110.0,1040.0,1065.0,1104709
2024-07-24,1060.0,1110.0,1050.0,1100.0,749870
2024-07-25,1010.0,1070.0,995.0,1070.0,671026
2024-07-26,1000.0,1035.0,995.0,1010.0,495564
2024-07-29,947.0,1010.0,930.0,981.0,315370
2024-07-30,901.0,955.0,895.0,940.0,370621
2024-07-31,944.0,953.0,883.0,904.0,121610
2024-08-01,928.0,958.0,925.0,947.0,1018266
2024-08-02,886.0,926.0,871.0,926.0,1146895
2024-08-05,851.0,875.0,821.0,850.0,1795118
2024-08-06,848.0,880.0,846.0,860.0,721740
2024-08-07,844.0,868.0,841.0,860.0,475968
2024-08-08,865.0,871.0,843.0,843.0,495668
2024-08-09,907.0,920.0,867.0,886.0,2206990
2024-08-12,886.0,935.0,865.0,908.0,512267
2024-08-13,903.0,908.0,878.0,891.0,482486
2024-08-14,891.0,910.0,890.0,909.0,648592
2024-08-15,908.0,911.0,887.0,895.0,767516
2024-08-16,911.0,922.0,901.0,908.0,764630
2024-08-19,899.0,924.0,888.0,915.0,801298
2024-08-20,887.0,910.0,876.0,900.0,1163349
2024-08-21,869.0,890.0,865.0,890.0,504445
2024-08-22,874.0,901.0,861.0,872.0,1188186
